fpr,tpr
0.072285,0.353175
0.072475,0.353175
0.072665,0.353175
0.072665,0.353968
0.072855,0.353968
0.073045,0.353968
0.073045,0.354762
0.073236,0.354762
0.073426,0.354762
0.073616,0.354762
0.073616,0.355556
0.073806,0.355556
0.073997,0.355556
0.073997,0.356349
0.073997,0.357143
0.074187,0.357143
0.074187,0.357937
0.074187,0.358730
0.074377,0.358730
0.074567,0.358730
0.074567,0.359524
0.074757,0.359524
0.074948,0.359524
0.075138,0.359524
0.075328,0.359524
0.075328,0.360317
0.075328,0.361111
0.075518,0.361111
0.075518,0.361905
0.075709,0.361905
0.075709,0.362698
0.075709,0.363492
0.075709,0.364286
0.075709,0.365079
0.075899,0.365079
0.076089,0.365079
0.076089,0.365873
0.076279,0.365873
0.076469,0.365873
0.076660,0.365873
0.076660,0.366667
0.076850,0.366667
0.077040,0.366667
0.077230,0.366667
0.077421,0.366667
0.077611,0.366667
0.077611,0.367460
0.077611,0.368254
0.077611,0.369048
0.077611,0.369841
0.077611,0.370635
0.077801,0.370635
0.077991,0.370635
0.077991,0.371429
0.077991,0.372222
0.078181,0.372222
0.078372,0.372222
0.078372,0.373016
0.078372,0.373810
0.078562,0.373810
0.078752,0.373810
0.078942,0.373810
0.079133,0.373810
0.079323,0.373810
0.079323,0.374603
0.079323,0.375397
0.079513,0.375397
0.079703,0.375397
0.079893,0.375397
0.079893,0.376190
0.080084,0.376190
0.080084,0.376984
0.080084,0.377778
0.080274,0.377778
0.080464,0.377778
0.080464,0.378571
0.080464,0.379365
0.080654,0.379365
0.080654,0.380159
0.080845,0.380159
0.081035,0.380159
0.081035,0.380952
0.081225,0.380952
0.081415,0.380952
0.081605,0.380952
0.081796,0.380952
0.081986,0.380952
0.082176,0.380952
0.082366,0.380952
0.082557,0.380952
0.082747,0.380952
0.082937,0.380952
0.082937,0.381746
0.083127,0.381746
0.083317,0.381746
0.083508,0.381746
0.083508,0.382540
0.083698,0.382540
0.083888,0.382540
0.083888,0.383333
0.084078,0.383333
0.084269,0.383333
0.084269,0.384127
0.084269,0.384921
0.084269,0.385714
0.084459,0.385714
0.084649,0.385714
0.084649,0.386508
0.084839,0.386508
0.085029,0.386508
0.085220,0.386508
0.085220,0.387302
0.085410,0.387302
0.085600,0.387302
0.085600,0.388095
0.085790,0.388095
0.085790,0.388889
0.085981,0.388889
0.086171,0.388889
0.086361,0.388889
0.086361,0.389683
0.086361,0.390476
0.086361,0.391270
0.086361,0.392063
0.086551,0.392063
0.086741,0.392063
0.086932,0.392063
0.087122,0.392063
0.087122,0.392857
0.087122,0.393651
0.087312,0.393651
0.087502,0.393651
0.087693,0.393651
0.087883,0.393651
0.088073,0.393651
0.088073,0.394444
0.088263,0.394444
0.088453,0.394444
0.088644,0.394444
0.088834,0.394444
0.089024,0.394444
0.089024,0.395238
0.089214,0.395238
0.089214,0.396032
0.089405,0.396032
0.089595,0.396032
0.089785,0.396032
0.089975,0.396032
0.089975,0.396825
0.090165,0.396825
0.090356,0.396825
0.090546,0.396825
0.090546,0.397619
0.090736,0.397619
0.090926,0.397619
0.090926,0.398413
0.091117,0.398413
0.091117,0.399206
0.091117,0.400000
0.091307,0.400000
0.091307,0.400794
0.091307,0.401587
0.091497,0.401587
0.091497,0.402381
0.091497,0.403175
0.091687,0.403175
0.091877,0.403175
0.092068,0.403175
0.092258,0.403175
0.092448,0.403175
0.092638,0.403175
0.092638,0.403968
0.092638,0.404762
0.092829,0.404762
0.093019,0.404762
0.093209,0.404762
0.093209,0.405556
0.093209,0.406349
0.093399,0.406349
0.093399,0.407143
0.093399,0.407937
0.093589,0.407937
0.093780,0.407937
0.093780,0.408730
0.093970,0.408730
0.093970,0.409524
0.093970,0.410317
0.093970,0.411111
0.093970,0.411905
0.094160,0.411905
0.094160,0.412698
0.094160,0.413492
0.094160,0.414286
0.094350,0.414286
0.094350,0.415079
0.094541,0.415079
0.094731,0.415079
0.094921,0.415079
0.094921,0.415873
0.094921,0.416667
0.095111,0.416667
0.095302,0.416667
0.095302,0.417460
0.095302,0.418254
0.095302,0.419048
0.095492,0.419048
0.095492,0.419841
0.095682,0.419841
0.095872,0.419841
0.096062,0.419841
0.096062,0.420635
0.096253,0.420635
0.096253,0.421429
0.096443,0.421429
0.096633,0.421429
0.096633,0.422222
0.096633,0.423016
0.096633,0.423810
0.096823,0.423810
0.097014,0.423810
0.097204,0.423810
0.097204,0.424603
0.097394,0.424603
0.097394,0.425397
0.097394,0.426190
0.097584,0.426190
0.097584,0.426984
0.097774,0.426984
0.097965,0.426984
0.098155,0.426984
0.098345,0.426984
0.098535,0.426984
0.098726,0.426984
0.098726,0.427778
0.098916,0.427778
0.098916,0.428571
0.098916,0.429365
0.099106,0.429365
0.099296,0.429365
0.099486,0.429365
0.099677,0.429365
0.099867,0.429365
0.100057,0.429365
0.100247,0.429365
0.100438,0.429365
0.100438,0.430159
0.100438,0.430952
0.100628,0.430952
0.100818,0.430952
0.100818,0.431746
0.101008,0.431746
0.101198,0.431746
0.101198,0.432540
0.101389,0.432540
0.101579,0.432540
0.101579,0.433333
0.101769,0.433333
0.101959,0.433333
0.102150,0.433333
0.102340,0.433333
0.102340,0.434127
0.102530,0.434127
0.102720,0.434127
0.102720,0.434921
0.102910,0.434921
0.103101,0.434921
0.103101,0.435714
0.103291,0.435714
0.103481,0.435714
0.103671,0.435714
0.103671,0.436508
0.103862,0.436508
0.103862,0.437302
0.103862,0.438095
0.103862,0.438889
0.104052,0.438889
0.104242,0.438889
0.104242,0.439683
0.104432,0.439683
0.104622,0.439683
0.104813,0.439683
0.104813,0.440476
0.104813,0.441270
0.105003,0.441270
0.105193,0.441270
0.105193,0.442063
0.105383,0.442063
0.105383,0.442857
0.105383,0.443651
0.105574,0.443651
0.105764,0.443651
0.105954,0.443651
0.105954,0.444444
0.106144,0.444444
0.106144,0.445238
0.106334,0.445238
0.106525,0.445238
0.106525,0.446032
0.106525,0.446825
0.106715,0.446825
0.106905,0.446825
0.107095,0.446825
0.107095,0.447619
0.107095,0.448413
0.107286,0.448413
0.107286,0.449206
0.107476,0.449206
0.107476,0.450000
0.107476,0.450794
0.107666,0.450794
0.107666,0.451587
0.107856,0.451587
0.108046,0.451587
0.108046,0.452381
0.108046,0.453175
0.108237,0.453175
0.108237,0.453968
0.108237,0.454762
0.108237,0.455556
0.108237,0.456349
0.108427,0.456349
0.108617,0.456349
0.108617,0.457143
0.108617,0.457937
0.108807,0.457937
0.108998,0.457937
0.109188,0.457937
0.109188,0.458730
0.109188,0.459524
0.109188,0.460317
0.109378,0.460317
0.109568,0.460317
0.109758,0.460317
0.109949,0.460317
0.110139,0.460317
0.110139,0.461111
0.110139,0.461905
0.110329,0.461905
0.110519,0.461905
0.110710,0.461905
0.110710,0.462698
0.110710,0.463492
0.110710,0.464286
0.110710,0.465079
0.110900,0.465079
0.111090,0.465079
0.111090,0.465873
0.111090,0.466667
0.111090,0.467460
0.111280,0.467460
0.111470,0.467460
0.111661,0.467460
0.111851,0.467460
0.111851,0.468254
0.111851,0.469048
0.112041,0.469048
0.112231,0.469048
0.112231,0.469841
0.112231,0.470635
0.112422,0.470635
0.112612,0.470635
0.112802,0.470635
0.112802,0.471429
0.112992,0.471429
0.112992,0.472222
0.112992,0.473016
0.113182,0.473016
0.113182,0.473810
0.113373,0.473810
0.113373,0.474603
0.113563,0.474603
0.113563,0.475397
0.113753,0.475397
0.113943,0.475397
0.113943,0.476190
0.113943,0.476984
0.114134,0.476984
0.114324,0.476984
0.114324,0.477778
0.114324,0.478571
0.114514,0.478571
0.114704,0.478571
0.114894,0.478571
0.114894,0.479365
0.115085,0.479365
0.115275,0.479365
0.115465,0.479365
0.115465,0.480159
0.115465,0.480952
0.115655,0.480952
0.115846,0.480952
0.115846,0.481746
0.115846,0.482540
0.115846,0.483333
0.116036,0.483333
